(house,casa)
(dog,perro)
(cell,celular)
(air,aire)
(glass,vidrio)
(what,que)
(z,zeta)
(star,estrella)
(pillow, almohada)
(backpack, mochila)
(shoe, zapato)
(yellow, amarillo)
(minion, banana)
(charger, cargador)
(sheet, hoja)
(brother, hermano)
(men, hombres)
(battery, bateria)
(computer, computadora)
(soap, jabon)
(matrix, matriz)
(screen, pantalla)
(door, puerta)
(closet, closet)
(box, caja)
(trash, basura)
(derivative, derivada)
(and, y)
(one, un)
(saw, vi)
(day, dia)
(cow, vaca)
(sexy, sexy)
(less, menos)
(uniform, uniforme)
(worn, vestida)
